"nombre"	"tipo_centro"	"dir"	"horario"	"dias"	"lon"	"lat"	"tipo"	"entidades_que_apoya"	"entidad"
"Walmart"	NA	"Blvd. Adolfo López Mateos No. 117 Ojuelos 51350 Toluca Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.6885664	19.2883491	NA	NA	"EDOMEX"
"Walmart"	NA	"Circuito 19 Metalurgistas 2 Cd. Satélite 53100 Naucalpan de Juárez Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2321744	19.5147995	NA	NA	"EDOMEX"
"Walmart"	NA	"Av. Símbolos Patrios No. 1319 Agencia Municipal Candiani Sobre la Carretera 68130 Oaxaca Oaxaca Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-96.7142876	17.0316566	NA	NA	"Oaxaca"
"Walmart"	NA	"Carretera Tapachula Puerto Madero Km 2.5 Las Hortencias 30797 Tapachula Chiapas Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-92.2831282	14.87462	NA	NA	"Chiapas"
"Walmart"	NA	"Miguel A. De Quevedo No. 175 Chimalistac 01070 Coyoacán México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1824964	19.345134	NA	NA	"CDMX"
"Walmart"	NA	"Calzada de Guadalupe No. 431 Guadalupe Tepeyac 07840 Gustavo A. Madero México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1235522	19.4682375	NA	NA	"CDMX"
"Walmart"	NA	"Calzada Tláhuac No. 5662 San Lorenzo Tezonco 13266 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.0601316	19.3046479	NA	NA	"CDMX"
"Walmart"	NA	"Calzada de Tlalpan No. 1037 Américas Unidas 03500 Benito Juárez México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1400023	19.3815355	NA	NA	"CDMX"
"Walmart"	NA	"Av. Hidalgo S/N Industrial Tlaxcolpan 54030 Tlalnepantla de Baz Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1939672	19.5506943	NA	NA	"EDOMEX"
"Walmart"	NA	"Paseo Tollocan No. 600 Sector Progreso 50150 Toluca Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.6393692	19.2809725	NA	NA	"EDOMEX"
"Walmart"	NA	"Carretera Federal México-Texcoco km 30.5 Santiago Cuautlalpan 56259 Texcoco Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-98.911944	19.427364	NA	NA	"EDOMEX"
"Walmart"	NA	"Carretera Transísmica No. 10 km 6.5 Granadillo 70613 Salina Cruz Oaxaca Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-95.2144409	16.240909	NA	NA	"Oaxaca"
"Walmart"	NA	"Carretera Federal México-Pachuca km 36.5 Hueyotenco 55741 Tecámac Estado De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-98.9814373	19.698243	NA	NA	"EDOMEX"
