"fecha","Institucion","Nombre","Tipo","Bytes","Version"
2014-07-18,"sct","Movimientos en ZONA 3 (5_PC_SEYBAPLAYA)","text/csv"," 5,584,896 ",6
2014-07-18,"sct","Movimientos en ZONA 3 (6_SEYBAPLAYA)","text/csv"," 2,725,888 ",6
2014-07-18,"sct","Fletes Internacionales","text/csv"," 40,960 ",6
2014-07-18,"sct","Fletes nacionales","text/csv"," 30,720 ",6
2014-07-18,"sct","Registros internacionales","text/csv"," 30,720 ",6
2014-07-18,"sct","Registros nacionales","text/csv"," 30,720 ",6
2014-07-18,"sct","Licencias ferroviarias","text/csv"," 1,130,496 ",6
2014-07-18,"sct","Capacidades por tipo de licencia ferroviaria","csv"," 1,925,120 ",6
2014-07-18,"sct","Empresas ferroviarias y personal","csv"," 541,696 ",6
2014-07-18,"sct","Solicitudes de licencias ferroviarias","csv"," 552,960 ",6
2014-07-18,"sct","Licencias de autotransporte","csv"," 30,409,728 ",6
2014-07-18,"sct","Medicina Preventiva en el autotransporte","csv"," 3,980,288 ",6
2014-07-18,"sct","Flota activa de autotransporte","text/csv"," 77,971,456 ",6
2014-07-18,"sct","TrÃ¡mites del Servicio PÃºblico Federal","text/csv"," 9,631,744 ",6
2014-07-18,"sct","EstadÃ­sticas de operaciones de puertos","text/csv"," 30,409,728 ",6
2014-07-18,"sct","Flota activa de embarcaciones completa","text/csv"," 2,048 ",6
2014-07-18,"sct","Flota activa de embarcaciones menores a 100 esloras","text/csv"," 2,048 ",6
2014-07-18,"sct","Avances en TelevisiÃ³n Digital Terrestre","text/csv"," 161,792 ",6
2014-07-18,"sct","MÃ©xico conectado","text/csv"," 5,958,656 ",6
2014-07-28,"sct","Contratos de obras pÃºblicas","text/csv"," 528,384 ",5
2014-07-28,"sct","ConservaciÃ³n de Carreteras","text/csv"," 205,824 ",5
2014-07-28,"sct","CircunscripciÃ³n territorial de carreteras federales libres de peaje.","text/csv"," 347,136 ",5
2014-07-28,"sct","Tarifas vigentes","text/csv"," 53,248 ",5
2014-07-28,"sct","UbicaciÃ³n y generales de casetas de cobro","text/csv"," 71,680 ",5
2014-07-28,"sct","Movimientos en ZONA 1 (1_PC_FELICIANO)","text/csv"," 4,527,104 ",5
2014-07-28,"sct","Movimientos en ZONA 1 (2_JOLUTA)","text/csv"," 3,406,848 ",5
2014-07-28,"sct","Movimientos en ZONA 1 (3_SAN_JUAN_BOSCO)","text/csv"," 950,272 ",5
2014-07-28,"sct","Movimientos en ZONA 1 (4_PC_SAN_MARTIN)","text/csv"," 43,987,968 ",5
2014-07-28,"sct","Movimientos en ZONA 1 (5_AMOZOC)","text/csv"," 17,582,080 ",5
2014-07-28,"sct","Movimientos en ZONA 1 (6_PC_AMOZOC)","text/csv"," 13,483,008 ",5
2014-07-28,"sct","Movimientos en ZONA 2 (1_MONTECILLOS)","text/csv"," 2,991,104 ",5
2014-07-28,"sct","Movimientos en ZONA 2 (3_AUTODROMO_AGS)","text/csv"," 5,940,224 ",5
2014-07-28,"sct","Movimientos en ZONA 2 (4_PUERTA_PALMILLAS)","text/csv"," 7,088,128 ",5
2014-07-28,"sct","Movimientos en ZONA 2 (5_PC_PALMILLAS)","text/csv"," 38,611,968 ",5
2014-07-28,"sct","Movimientos en ZONA 2 (6_SAN_SEBASTIAN)","text/csv"," 12,009,472 ",5
2014-07-28,"sct","Movimientos en ZONA 3 (1_PC_TEPOZTLAN)","text/csv"," 7,984,128 ",5
2014-07-28,"sct","Movimientos en ZONA 3 (2_PC_TLALPAN)","text/csv"," 38,871,040 ",5
2014-07-28,"sct","Movimientos en ZONA 3 (3_PC_CHICHEN ITZA)","text/csv"," 3,028,992 ",5
2014-07-28,"sct","Movimientos en ZONA 3 (4_KAUA)","text/csv"," 2,604,032 ",5
2014-07-28,"sct","Movimientos en ZONA 3 (5_PC_SEYBAPLAYA)","text/csv"," 5,584,896 ",5
2014-07-28,"sct","Movimientos en ZONA 3 (6_SEYBAPLAYA)","text/csv"," 2,725,888 ",5
2014-07-28,"sct","Fletes Internacionales","text/csv"," 40,960 ",5
2014-07-28,"sct","Fletes nacionales","text/csv"," 30,720 ",5
2014-07-28,"sct","Registros internacionales","text/csv"," 30,720 ",5
2014-07-28,"sct","Registros nacionales","text/csv"," 30,720 ",5
2014-07-28,"sct","Licencias ferroviarias","text/csv"," 1,130,496 ",5
2014-07-28,"sct","Capacidades por tipo de licencia ferroviaria","csv"," 1,925,120 ",5
2014-07-28,"sct","Empresas ferroviarias y personal","csv"," 541,696 ",5
2014-07-28,"sct","Solicitudes de licencias ferroviarias","csv"," 552,960 ",5
2014-07-28,"sct","Licencias de autotransporte","csv"," 30,409,728 ",5
2014-07-28,"sct","Medicina Preventiva en el autotransporte","csv"," 3,980,288 ",5
2014-07-28,"sct","Flota activa de autotransporte","text/csv"," 77,971,456 ",5
2014-07-28,"sct","TrÃ¡mites del Servicio PÃºblico Federal","text/csv"," 9,631,744 ",5
2014-07-28,"sct","EstadÃ­sticas de operaciones de puertos","text/csv"," 30,409,728 ",5
2014-07-28,"sct","Flota activa de embarcaciones completa","text/csv"," 2,048 ",5
2014-07-28,"sct","Flota activa de embarcaciones menores a 100 esloras","text/csv"," 2,048 ",5
2014-07-28,"sct","Avances en TelevisiÃ³n Digital Terrestre","text/csv"," 161,792 ",5
2014-07-28,"sct","MÃ©xico conectado","text/csv"," 5,958,656 ",5
2014-07-28,"coneval","Inventario Federal 2004","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2005","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2006","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2007","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2008","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2009","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2010","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2011","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2012","text/csv",NA,7
2014-07-28,"coneval","Inventario Federal 2013","text/csv",NA,7
2014-07-28,"coneval","ValoraciÃ³n Consistencia y Resultados 2007-2008","text/csv",NA,7
